filename,width,height,class,xmin,ymin,xmax,ymax,image_id
./Dataset/blob/forceTest/2019-06-24-17-19-44.png,640,480,ball,353,194,380,236,0
./Dataset/blob/forceTest/2019-06-24-17-19-44.png,640,480,goalpost,436,14,451,54,0
./Dataset/blob/forceTest/2019-06-24-17-19-44.png,640,480,robot,521,149,552,188,0
./Dataset/blob/forceTest/2019-06-24-17-19-44.png,640,480,robot,469,304,500,372,0
./Dataset/blob/forceTest/2019-06-24-17-19-44.png,640,480,robot,23,358,75,393,0
./Dataset/blob/forceTest/2019-06-24-17-19-44.png,640,480,robot,262,335,322,388,0
./Dataset/blob/forceTest/2019-06-24-17-23-31.png,640,480,goalpost,242,21,257,61,1
./Dataset/blob/forceTest/2019-06-24-17-23-31.png,640,480,robot,335,288,366,356,1
./Dataset/blob/forceTest/2019-06-24-17-23-31.png,640,480,robot,23,358,75,393,1
./Dataset/blob/forceTest/2019-06-24-17-23-31.png,640,480,ball,268,319,308,352,1
./Dataset/blob/forceTest/2019-06-24-17-23-31.png,640,480,robot,459,308,499,361,1
./Dataset/blob/forceTest/2019-06-24-17-23-31.png,640,480,robot,518,145,553,192,1
./Dataset/blob/forceTest/2019-06-24-17-19-15.png,640,480,robot,373,294,445,376,2
./Dataset/blob/forceTest/2019-06-24-17-19-15.png,640,480,ball,299,220,354,274,2
./Dataset/blob/forceTest/2019-06-24-17-19-15.png,640,480,robot,172,243,227,300,2
./Dataset/blob/forceTest/2019-06-24-17-19-15.png,640,480,goalpost,437,19,453,55,2
./Dataset/blob/forceTest/2019-06-24-17-19-15.png,640,480,goalpost,237,20,261,59,2
./Dataset/blob/forceTest/2019-06-24-17-19-15.png,640,480,robot,33,354,72,397,2
./Dataset/blob/forceTest/2019-06-24-17-23-12.png,640,480,goalpost,437,13,452,53,3
./Dataset/blob/forceTest/2019-06-24-17-23-12.png,640,480,robot,275,235,306,303,3
./Dataset/blob/forceTest/2019-06-24-17-23-12.png,640,480,robot,23,358,75,393,3
./Dataset/blob/forceTest/2019-06-24-17-23-12.png,640,480,ball,268,321,308,354,3
./Dataset/blob/forceTest/2019-06-24-17-23-12.png,640,480,robot,455,305,495,358,3
./Dataset/blob/forceTest/2019-06-24-17-23-12.png,640,480,robot,518,145,553,192,3
./Dataset/blob/forceTest/2019-06-24-17-23-12.png,640,480,goalpost,238,30,261,61,3
./Dataset/blob/forceTest/2019-06-24-17-22-41.png,640,480,goalpost,437,13,452,53,4
./Dataset/blob/forceTest/2019-06-24-17-22-41.png,640,480,robot,263,241,294,309,4
./Dataset/blob/forceTest/2019-06-24-17-22-41.png,640,480,robot,23,358,75,393,4
./Dataset/blob/forceTest/2019-06-24-17-22-41.png,640,480,ball,267,321,307,354,4
./Dataset/blob/forceTest/2019-06-24-17-22-41.png,640,480,robot,460,308,500,361,4
./Dataset/blob/forceTest/2019-06-24-17-22-41.png,640,480,robot,518,145,553,192,4
./Dataset/blob/forceTrain/sydney_2019-07-02-05-56-54.png,640,480,goalpost,297,122,300,159,5
./Dataset/blob/forceTrain/sydney_2019-07-02-05-56-54.png,640,480,goalpost,410,130,415,170,5
./Dataset/blob/forceTrain/sydney_2019-07-02-05-56-54.png,640,480,ball,333,176,350,194,5
./Dataset/blob/forceTrain/2019-06-24-13-17-52.png,640,480,robot,465,200,498,279,6
./Dataset/blob/forceTrain/2019-06-24-13-17-52.png,640,480,robot,274,315,324,363,6
./Dataset/blob/forceTrain/2019-06-24-13-17-52.png,640,480,goalpost,404,59,414,109,6
./Dataset/blob/forceTrain/2019-06-24-13-17-52.png,640,480,goalpost,212,60,227,100,6
./Dataset/blob/forceTrain/2019-07-05-01-27-37-592.png,640,480,goalpost,118,132,158,192,7
./Dataset/blob/forceTrain/2019-07-05-01-27-37-592.png,640,480,goalpost,244,29,284,89,7
./Dataset/blob/forceTrain/2019-06-24-13-20-43.png,640,480,robot,274,375,324,439,8
./Dataset/blob/forceTrain/2019-06-24-13-20-43.png,640,480,robot,531,325,560,409,8
./Dataset/blob/forceTrain/2019-06-24-13-20-43.png,640,480,goalpost,219,54,235,100,8
./Dataset/blob/forceTrain/sydney_2019-07-02-05-56-14.png,640,480,goalpost,422,21,428,63,9
./Dataset/blob/forceTrain/sydney_2019-07-02-05-56-14.png,640,480,ball,464,75,472,83,9
./Dataset/blob/forceTrain/sydney_2019-07-02-05-56-14.png,640,480,goalpost,490,35,495,80,9
./Dataset/blob/forceTrain/sydney_2019-07-02-05-55-59.png,640,480,goalpost,606,128,612,198,10
./Dataset/blob/forceTrain/frame0438_dropin.jpg,640,480,ball,225,333,266,373,11
./Dataset/blob/forceTrain/frame0438_dropin.jpg,640,480,goalpost,213,111,228,142,11
./Dataset/blob/forceTrain/frame0438_dropin.jpg,640,480,robot,362,97,382,141,11
./Dataset/blob/forceTrain/frame0438_dropin.jpg,640,480,goalpost,477,84,492,143,11
./Dataset/blob/forceTrain/oleg_frame0307.jpg,640,480,robot,202,173,267,213,12
./Dataset/blob/forceTrain/oleg_frame0307.jpg,640,480,ball,301,186,335,221,12
./Dataset/blob/forceTrain/oleg_frame0307.jpg,640,480,goalpost,15,57,20,148,12
./Dataset/blob/forceTrain/2019-07-03-06-54-39-826.png,640,480,ball,395,304,435,344,13
./Dataset/blob/forceTrain/2019-07-03-06-54-39-826.png,640,480,ball,430,192,470,232,13
./Dataset/blob/forceTrain/2019-07-03-06-54-39-826.png,640,480,goalpost,141,37,181,97,13
./Dataset/blob/forceTrain/2019-07-03-06-54-39-826.png,640,480,robot,345,127,385,187,13
./Dataset/blob/forceTrain/2019-07-03-06-54-39-826.png,640,480,ball,322,89,334,101,13
./Dataset/blob/forceTrain/2019-07-03-06-54-39-826.png,640,480,ball,313,78,327,89,13
./Dataset/blob/forceTrain/2019-07-03-06-54-39-826.png,640,480,goalpost,218,41,234,86,13
./Dataset/blob/forceTrain/2019-07-05-09-16-34-984.png,640,480,goalpost,531,98,571,158,14
./Dataset/blob/forceTrain/2019-07-05-09-16-34-984.png,640,480,robot,540,182,573,261,14
./Dataset/blob/forceTrain/oleg_frame0338.jpg,640,480,robot,159,193,224,233,15
./Dataset/blob/forceTrain/oleg_frame0338.jpg,640,480,ball,284,187,324,227,15
./Dataset/blob/forceTrain/oleg_frame0515f.jpg,640,480,ball,333,368,399,428,16
./Dataset/blob/forceTrain/oleg_frame0515f.jpg,640,480,goalpost,198,58,205,89,16
./Dataset/blob/forceTrain/oleg_frame0515f.jpg,640,480,goalpost,380,68,387,105,16
./Dataset/blob/forceTrain/oleg_frame0515f.jpg,640,480,robot,513,259,569,314,16
./Dataset/blob/forceTrain/oleg_frame0163.jpg,640,480,robot,67,244,119,281,17
./Dataset/blob/forceTrain/oleg_frame0163.jpg,640,480,ball,303,170,321,188,17
./Dataset/blob/forceTrain/frame0288_dropin.jpg,640,480,ball,314,158,335,177,18
./Dataset/blob/forceTrain/frame0288_dropin.jpg,640,480,goalpost,360,114,370,150,18
./Dataset/blob/forceTrain/frame0288_dropin.jpg,640,480,robot,420,127,440,171,18
./Dataset/blob/forceTrain/frame0288_dropin.jpg,640,480,goalpost,495,133,510,192,18
./Dataset/blob/forceTrain/67_diego_new.png,640,480,robot,255,1,295,2,19
./Dataset/blob/forceTrain/67_diego_new.png,640,480,ball,265,224,296,252,19
./Dataset/blob/forceTrain/67_diego_new.png,640,480,ball,580,244,604,269,19
./Dataset/blob/forceTrain/67_diego_new.png,640,480,goalpost,215,108,234,155,19
./Dataset/blob/forceTrain/frame0240_dropin.jpg,640,480,ball,337,133,356,150,20
./Dataset/blob/forceTrain/frame0240_dropin.jpg,640,480,goalpost,380,99,390,135,20
./Dataset/blob/forceTrain/frame0240_dropin.jpg,640,480,robot,428,110,448,154,20
./Dataset/blob/forceTrain/frame0240_dropin.jpg,640,480,goalpost,491,113,506,172,20
./Dataset/blob/forceTrain/frame0240_dropin.jpg,640,480,robot,596,206,611,265,20
./Dataset/blob/forceTrain/sydney_2019-07-02-05-56-41.png,640,480,ball,174,84,188,97,21
./Dataset/blob/forceTrain/sydney_2019-07-02-05-56-41.png,640,480,goalpost,223,46,227,76,21
./Dataset/blob/forceTrain/sydney_2019-07-02-05-56-41.png,640,480,robot,487,85,519,114,21
./Dataset/blob/forceTrain/sydney_2019-07-02-05-56-41.png,640,480,goalpost,135,59,139,92,21
./Dataset/blob/forceTrain/oleg_frame0189_.jpg,640,480,ball,297,215,324,240,22
./Dataset/blob/forceTrain/oleg_frame0189_.jpg,640,480,goalpost,46,149,52,196,22
./Dataset/blob/forceTrain/oleg_frame03307.jpg,640,480,goalpost,71,84,77,123,23
./Dataset/blob/forceTrain/oleg_frame03307.jpg,640,480,robot,228,227,294,289,23
./Dataset/blob/forceTrain/oleg_frame03307.jpg,640,480,ball,275,234,322,284,23
./Dataset/blob/forceTrain/frame0576_dropin.jpg,640,480,goalpost,97,403,117,458,24
./Dataset/blob/forceTrain/frame0576_dropin.jpg,640,480,goalpost,523,198,535,234,24
./Dataset/blob/forceTrain/frame0576_dropin.jpg,640,480,ball,271,356,333,419,24
./Dataset/blob/forceTrain/frame0576_dropin.jpg,640,480,robot,372,289,457,362,24
./Dataset/blob/forceTrain/oleg_frame0405w.jpg,640,480,goalpost,25,103,31,143,25
./Dataset/blob/forceTrain/oleg_frame0405w.jpg,640,480,robot,186,203,246,248,25
./Dataset/blob/forceTrain/oleg_frame0405w.jpg,640,480,ball,327,229,372,275,25
